,niv1,niv2,ids_niv1,ids_niv2,val,niv0
18.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier bassin de la Moselle,35.0, 40,1,Data_InDoRes
19.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier Alpes,35.0, 42,1,Data_InDoRes
20.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier arc jurassien,35.0, 43,1,Data_InDoRes
21.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier Armorique,35.0, 44,1,Data_InDoRes
22.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier Plaine et Val de Sèvre,35.0, 45,1,Data_InDoRes
23.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier environnementale urbaine,35.0, 46,1,Data_InDoRes
24.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier Hwange,35.0, 47,1,Data_InDoRes
25.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier Pyrénées Garonne,35.0, 48,1,Data_InDoRes
26.0,Réseau des Zones Ateliers (RZA - LTER France), Zone atelier Brest Iroise,35.0, 49,1,Data_InDoRes
27.0,Centre de Recherche en Paléontologie - Paris (CR2P),,54.0,,1,Data_InDoRes
28.0,BOREA,,114.0,,1,Data_InDoRes
29.0,"Institut de minéralogie, de physique des matériaux et de cosmochimie (IMPMC)",,115.0,,1,Data_InDoRes
30.0,Centre d'Ecologie Fonctionnelle et Evolutive (CEFE),,123.0,,1,Data_InDoRes
31.0,Institut des Sciences de l'Évolution de Montpellier (ISEM),Génomique,128.0,2332,1,Data_InDoRes
32.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Écologie,128.0, 2335,1,Data_InDoRes
33.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Environnement,128.0, 2337,1,Data_InDoRes
34.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Morphologie,128.0, 2338,1,Data_InDoRes
35.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Archéobiologie,128.0, 2339,1,Data_InDoRes
36.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Anthropologie,128.0, 2340,1,Data_InDoRes
37.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Cytologie,128.0, 2341,1,Data_InDoRes
38.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Évolution expérimentale,128.0, 2342,1,Data_InDoRes
39.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Collections,128.0, 6013,1,Data_InDoRes
40.0,"Archéozoologie et Archéobotanique - Sociétés, Pratiques et Environnements (AASPE)",,151.0,,1,Data_InDoRes
41.0,iEES-Paris,,152.0,,1,Data_InDoRes
42.0,GEODE (Géographie de l'Environnement),,195.0,,1,Data_InDoRes
43.0,GEOLAB (Laboratoire de géographie physique et environnementale),,1756.0,,1,Data_InDoRes
44.0,PatriNat,,1773.0,,1,Data_InDoRes
45.0,EDYTEM,,1777.0,,1,Data_InDoRes
