,Unnamed: 0,niv1,niv2,ids_niv1,ids_niv2,val,niv0,Dataverses_niv3,ids_niv3
37,37.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Cytologie,128.0,2341.0,1,Data_InDoRes,[],[]
38,38.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Évolution expérimentale,128.0,2342.0,1,Data_InDoRes,[],[]
39,39.0,Institut des Sciences de l'Évolution de Montpellier (ISEM), Collections,128.0,6013.0,1,Data_InDoRes,[],[]
40,40.0,"Archéozoologie et Archéobotanique - Sociétés, Pratiques et Environnements (AASPE)",,151.0,,1,Data_InDoRes,[''],['']
41,41.0,iEES-Paris,,152.0,,1,Data_InDoRes,[''],['']
42,42.0,GEODE (Géographie de l'Environnement),,195.0,,1,Data_InDoRes,[''],['']
43,43.0,GEOLAB (Laboratoire de géographie physique et environnementale),,1756.0,,1,Data_InDoRes,[''],['']
44,44.0,PatriNat,,1773.0,,1,Data_InDoRes,[''],['']
45,45.0,EDYTEM,,1777.0,,1,Data_InDoRes,[''],['']
46,46.0,Station biologique de Roscoff,,1909.0,,1,Data_InDoRes,[''],['']
47,47.0,Laboratoire de biologie intégrative des modèles marins,,1910.0,,1,Data_InDoRes,[''],['']
48,48.0,ECOBIO UMR 6553 Ecosystèmes Biodiversité Evolution,,2082.0,,1,Data_InDoRes,[''],['']
49,49.0,Pelagis,,2087.0,,1,Data_InDoRes,[''],['']
50,50.0,Xper3,,2259.0,,1,Data_InDoRes,[''],['']
51,51.0,Fédération Île-de-France de Recherche sur l'Environnement (FIRE),,2284.0,,1,Data_InDoRes,[''],['']
52,52.0,"Institut de Systématique, Evolution, Biodiversité (ISYEB)",,2285.0,,1,Data_InDoRes,[''],['']
53,53.0,Centre de recherche en écologie expérimentale et prédictive (CEREEP Ecotron IDF),,2314.0,,1,Data_InDoRes,[''],['']
54,54.0,Littoral - Environnement - Télédétection - Géomatique (LETG),ANR ARICO,2315.0,2331.0,1,Data_InDoRes,[],[]
55,55.0,Publications scientifiques du Muséum national d'Histoire naturelle,Geodiversitas,2615.0,2719.0,1,Data_InDoRes,[],[]
56,56.0,"Écologie, systématique et évolution ",,2718.0,,1,Data_InDoRes,[''],['']
57,57.0,Centre d'Etudes Biologiques de Chizé (CEBC),,2868.0,,1,Data_InDoRes,[''],['']
58,58.0,UMR Eco-anthropologie,,3460.0,,1,Data_InDoRes,[''],['']
59,59.0,MECADEV (Mécanismes adaptatifs & Evolution),,4082.0,,1,Data_InDoRes,[''],['']
60,60.0,Centre d'Ecologie et des Sciences de la Conservation (CESCO),,4102.0,,1,Data_InDoRes,[''],['']
61,61.0,LIttoral ENvironnement et Sociétés (LIENSs),,4996.0,,1,Data_InDoRes,[''],['']
62,62.0,AnaEE France,,5050.0,,1,Data_InDoRes,[''],['']
63,63.0,Biogéosciences,,5056.0,,1,Data_InDoRes,[''],['']
64,64.0,PACEA,Projects,5081.0,5082.0,1,Data_InDoRes,['GravettoNiches'],[5083]
65,65.0,Centre de Recherche sur la Conservation,Documents graphiques,5099.0,5146.0,1,Data_InDoRes,[''],['']
66,66.0,Centre de Recherche sur la Conservation, Projets,5099.0,5150.0,1,Data_InDoRes,[],[]
67,67.0,Centre de Recherche sur la Biodiversité et l’Environnement (CRBE),,5151.0,,1,Data_InDoRes,[''],['']
68,68.0,UMR Écologie et Dynamique des Systèmes Anthropisés (EDYSAN),IMPRINT (projet ANR),5917.0,5923.0,1,Data_InDoRes,[],[]
