"keywordType-place.langfre",createDate,location
"France, Guadeloupe, Martinique","Jan 6, 2022 @ 17:01:21.000","{
  ""coordinates"": [
    -78.072146,
    20.993358999999998
  ],
  ""type"": ""Point""
}"
"France, Guadeloupe, Martinique","Jan 6, 2022 @ 17:01:19.000","{
  ""coordinates"": [
    -78.072146,
    20.993358999999998
  ],
  ""type"": ""Point""
}"
"France, Guadeloupe, Martinique","Jan 6, 2022 @ 17:01:18.000","{
  ""coordinates"": [
    -78.072146,
    20.993358999999998
  ],
  ""type"": ""Point""
}"
"France, Guadeloupe, Martinique","Jan 6, 2022 @ 17:01:16.000","{
  ""coordinates"": [
    -78.072146,
    20.993358999999998
  ],
  ""type"": ""Point""
}"
"France, Guadeloupe, Martinique","Jan 6, 2022 @ 17:01:15.000","{
  ""coordinates"": [
    -78.072146,
    20.993358999999998
  ],
  ""type"": ""Point""
}"
"France, Guadeloupe, Martinique","Jan 6, 2022 @ 17:01:13.000","{
  ""coordinates"": [
    -78.072146,
    20.993358999999998
  ],
  ""type"": ""Point""
}"
"France, Guadeloupe, Martinique","Jan 6, 2022 @ 15:11:57.000","{
  ""coordinates"": [
    -78.072146,
    20.993358999999998
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Durance, Barrage de Sauveterre (Avignon)","Jan 4, 2022 @ 15:32:58.000","{
  ""coordinates"": [
    4.915,
    43.84
  ],
  ""type"": ""Point""
}"
"Rhône, OSR, RhônEco, OHM VR, Cours du Rhône du Haut-Rhône à Caderousse.","Jan 4, 2022 @ 15:31:25.000","{
  ""coordinates"": [
    5.3989825,
    45.138725
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Haut-Rhône, région Lyonnaise, RCC de Montélimar, Camargue et secteur de Port-Saint-Louis du Rhône/Fos-sur-Mer.","Jan 4, 2022 @ 15:14:38.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Rhône aval.","Jan 4, 2022 @ 15:04:57.000","{
  ""coordinates"": [
    4.707471,
    43.838401000000005
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, OSR, French Rhône River","Jan 4, 2022 @ 15:00:27.000","{
  ""coordinates"": [
    5.137499999999999,
    44.730999999999995
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Arles","Jan 4, 2022 @ 14:56:40.000","{
  ""coordinates"": [
    4.62,
    43.760000000000005
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Fleuve Rhône","Jan 4, 2022 @ 14:49:28.000","{
  ""coordinates"": [
    5.83349,
    44.9729945
  ],
  ""type"": ""Point""
}"
"Ain, Rhône, Confluent Ain-Rhône","Jan 4, 2022 @ 14:47:08.000","{
  ""coordinates"": [
    5.1899999999999995,
    45.79
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Bassin versant du Rhône français","Jan 4, 2022 @ 14:46:06.000","{
  ""coordinates"": [
    5.077242,
    44.779458
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Bas-Rhône","Jan 4, 2022 @ 14:41:18.000","{
  ""coordinates"": [
    4.722747999999999,
    43.563279
  ],
  ""type"": ""Point""
}"
"OHM BMP, OHM VR, LabEx DRIIHM, Cours du Rhône français","Jan 4, 2022 @ 14:36:36.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Cours du Rhône français","Jan 4, 2022 @ 14:33:38.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, OHM Littoral Méditerranéen, Péage-de-Roussillon","Jan 4, 2022 @ 14:29:39.000","{
  ""coordinates"": [
    4.783291999999999,
    45.390976499999994
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Pierre-Bénite, Péage-de-Roussillon, Montélimar, Donzère-Mondragon.","Jan 4, 2022 @ 14:28:30.000","{
  ""coordinates"": [
    4.771551499999999,
    44.947706499999995
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Pierre-Bénite, Péage-de-Roussillon, Montélimar, Donzère-Mondragon.","Jan 4, 2022 @ 14:27:22.000","{
  ""coordinates"": [
    4.771551499999999,
    44.947706499999995
  ],
  ""type"": ""Point""
}"
"Rhône, Arles","Jan 4, 2022 @ 14:19:45.000","{
  ""coordinates"": [
    4.62,
    43.760000000000005
  ],
  ""type"": ""Point""
}"
"-","Jan 4, 2022 @ 13:41:42.000","{
  ""coordinates"": [
    -4.16401,
    48.2339765
  ],
  ""type"": ""Point""
}"
"Morbihan, Naizin","Dec 22, 2021 @ 16:37:20.000","{
  ""coordinates"": [
    -2.8367269999999998,
    48.015116
  ],
  ""type"": ""Point""
}"
"Morbihan, Naizin","Dec 22, 2021 @ 14:58:30.000","{
  ""coordinates"": [
    -2.8290800000000003,
    48.001268499999995
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, OSR, Rhône et affluents","Dec 14, 2021 @ 09:47:05.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}"
"-","Dec 10, 2021 @ 16:37:26.000","-"
"-","Dec 10, 2021 @ 16:37:20.000","-"
"-","Dec 10, 2021 @ 16:37:15.000","-"
"-","Dec 10, 2021 @ 16:37:09.000","-"
"-","Dec 10, 2021 @ 14:41:05.000","-"
"-","Dec 10, 2021 @ 14:40:58.000","-"
"France, Bretagne, Pays de la Loire, Hauts-de-France, Corse, Normandie, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur","Dec 6, 2021 @ 14:53:44.000","{
  ""coordinates"": [
    0.0830820000000001,
    45.8201095
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 13:22:53.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 13:22:19.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 13:18:09.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 13:02:20.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 12:34:31.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 12:13:54.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 12:05:36.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 12:00:10.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 11:54:01.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 10:18:14.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 10:17:47.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 10:06:40.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Dec 1, 2021 @ 08:44:25.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Nov 30, 2021 @ 17:54:59.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"France, Hauts-de-France, Bretagne, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur, Normandie, Corse, Pays de la Loire","Nov 29, 2021 @ 17:13:29.000","{
  ""coordinates"": [
    2.2094085,
    46.2112725
  ],
  ""type"": ""Point""
}"
"France, Hauts-de-France, Bretagne, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur, Normandie, Corse","Nov 29, 2021 @ 17:10:18.000","{
  ""coordinates"": [
    2.4595970000000005,
    46.2180115
  ],
  ""type"": ""Point""
}"
"France, France","Nov 19, 2021 @ 10:27:07.000","{
  ""coordinates"": [
    -2.8275154999999996,
    48.0006385
  ],
  ""type"": ""Point""
}"
"Bretagne, Finistère, Crozon","Nov 16, 2021 @ 14:00:25.000","{
  ""coordinates"": [
    -4.55375,
    48.2025
  ],
  ""type"": ""Point""
}"
"-","Nov 12, 2021 @ 16:35:48.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Nov 9, 2021 @ 22:46:42.000","{
  ""coordinates"": [
    -1.108673,
    48.5237975
  ],
  ""type"": ""Point""
}"
"-","Oct 21, 2021 @ 10:58:40.000","{
  ""coordinates"": [
    -1.5631135,
    48.498221
  ],
  ""type"": ""Point""
}"
"-","Oct 21, 2021 @ 10:56:02.000","{
  ""coordinates"": [
    -1.5631135,
    48.498221
  ],
  ""type"": ""Point""
}"
"-","Oct 21, 2021 @ 10:45:58.000","{
  ""coordinates"": [
    -1.5898295,
    48.486644
  ],
  ""type"": ""Point""
}"
"-","Oct 21, 2021 @ 10:24:59.000","{
  ""coordinates"": [
    -1.5631135,
    48.498221
  ],
  ""type"": ""Point""
}"
"Zone Atelier Armorique ZAAr","Oct 21, 2021 @ 10:21:18.000","{
  ""coordinates"": [
    -1.7506725,
    48.254782500000005
  ],
  ""type"": ""Point""
}"
"France, Bretagne, Pays de la Loire, Hauts-de-France, Corse, Normandie, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur","Oct 18, 2021 @ 11:14:33.000","{
  ""coordinates"": [
    2.2094085,
    46.2112725
  ],
  ""type"": ""Point""
}"
"France, Bretagne","Oct 8, 2021 @ 14:17:48.000","{
  ""coordinates"": [
    -3.2782,
    48.05745
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Vallée du Rhône","Oct 5, 2021 @ 16:00:06.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}"
"-","Sep 23, 2021 @ 16:28:01.000","-"
"-","Sep 23, 2021 @ 16:27:53.000","-"
"-","Sep 23, 2021 @ 16:27:45.000","-"
"-","Sep 23, 2021 @ 16:27:38.000","-"
"-","Sep 23, 2021 @ 16:27:30.000","-"
"-","Sep 23, 2021 @ 16:27:22.000","-"
"-","Sep 23, 2021 @ 14:59:53.000","-"
"-","Sep 23, 2021 @ 14:59:46.000","-"
"-","Sep 23, 2021 @ 14:59:39.000","-"
"-","Sep 23, 2021 @ 14:59:32.000","-"
"-","Sep 23, 2021 @ 14:24:47.000","-"
"-","Sep 23, 2021 @ 14:24:40.000","-"
"-","Sep 23, 2021 @ 14:24:33.000","-"
"-","Sep 10, 2021 @ 18:19:03.000","{
  ""coordinates"": [
    -0.710515,
    47.433928
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 18:00:03.000","{
  ""coordinates"": [
    -0.710515,
    47.433928
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 17:54:59.000","{
  ""coordinates"": [
    -0.557727,
    47.474205999999995
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 17:47:32.000","{
  ""coordinates"": [
    -0.575567,
    47.484306000000004
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 17:41:24.000","{
  ""coordinates"": [
    -0.5210775000000001,
    47.470625999999996
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 17:31:36.000","{
  ""coordinates"": [
    5.4001269999999995,
    43.294706
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 16:49:02.000","{
  ""coordinates"": [
    5.4001269999999995,
    43.294706
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 13:37:22.000","{
  ""coordinates"": [
    -0.5336704999999999,
    47.461628000000005
  ],
  ""type"": ""Point""
}"
"-","Sep 10, 2021 @ 13:29:14.000","{
  ""coordinates"": [
    -0.5336704999999999,
    47.461628000000005
  ],
  ""type"": ""Point""
}"
"-","Aug 27, 2021 @ 00:00:00.000","-"
"-","Aug 23, 2021 @ 00:00:00.000","-"
"-","Aug 23, 2021 @ 00:00:00.000","-"
"-","Aug 23, 2021 @ 00:00:00.000","-"
"-","Aug 23, 2021 @ 00:00:00.000","-"
"-","Aug 23, 2021 @ 00:00:00.000","-"
"-","Aug 23, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 17:45:13.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 13, 2021 @ 00:00:00.000","-"
"-","Aug 12, 2021 @ 00:00:00.000","-"
"-","Aug 11, 2021 @ 19:51:51.000","-"
"-","Aug 11, 2021 @ 19:24:33.000","{
  ""coordinates"": [
    6.097555,
    44.950502
  ],
  ""type"": ""Point""
}"
"-","Aug 11, 2021 @ 19:14:53.000","{
  ""coordinates"": [
    6.097555,
    44.950502
  ],
  ""type"": ""Point""
}"
"Bretagne, Sols, Bretagne, Ille-Et-Vilaine, Villaumur, Pédologie, Villaumur","Jul 13, 2021 @ 15:07:49.000","{
  ""coordinates"": [
    -1.267635,
    48.137806
  ],
  ""type"": ""Point""
}"
"Bretagne, Sols, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","Jul 13, 2021 @ 15:07:24.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}"
"-","Jul 7, 2021 @ 09:55:35.000","-"
"-","Jul 7, 2021 @ 09:55:27.000","-"
"-","Jul 7, 2021 @ 09:55:20.000","-"
"-","Jul 7, 2021 @ 09:55:13.000","-"
"-","Jul 7, 2021 @ 09:55:05.000","-"
"-","Jul 7, 2021 @ 09:54:57.000","-"
"-","Jul 7, 2021 @ 09:54:50.000","-"
"-","Jul 7, 2021 @ 09:54:44.000","-"
"-","Jul 7, 2021 @ 09:54:35.000","-"
"-","Jul 7, 2021 @ 09:54:27.000","-"
"-","Jul 7, 2021 @ 09:54:19.000","-"
"-","Jul 7, 2021 @ 09:54:12.000","-"
"-","Jul 6, 2021 @ 17:12:34.000","-"
"-","Jul 6, 2021 @ 17:12:27.000","-"
"-","Jul 6, 2021 @ 11:47:49.000","{
  ""coordinates"": [
    1.754007,
    46.451918
  ],
  ""type"": ""Point""
}"
"-","Jul 1, 2021 @ 16:09:52.000","{
  ""coordinates"": [
    -3.0816660000000002,
    48.0590415
  ],
  ""type"": ""Point""
}"
"-","Jun 30, 2021 @ 00:00:00.000","-"
"-","Jun 30, 2021 @ 00:00:00.000","-"
"-","Jun 30, 2021 @ 00:00:00.000","-"
"-","Jun 30, 2021 @ 00:00:00.000","-"
"-","Jun 30, 2021 @ 00:00:00.000","-"
"-","Jun 28, 2021 @ 00:00:00.000","-"
"-","Jun 28, 2021 @ 00:00:00.000","-"
"-","Jun 28, 2021 @ 00:00:00.000","-"
"-","Jun 28, 2021 @ 00:00:00.000","-"
"-","Jun 28, 2021 @ 00:00:00.000","-"
"-","Jun 25, 2021 @ 10:19:51.000","-"
"-","Jun 24, 2021 @ 16:24:04.000","{
  ""coordinates"": [
    -1.673728,
    48.2399325
  ],
  ""type"": ""Point""
}"
"-","Jun 23, 2021 @ 10:19:22.000","-"
"-","Jun 23, 2021 @ 10:19:15.000","-"
"-","Jun 23, 2021 @ 10:19:08.000","-"
"-","Jun 23, 2021 @ 10:19:00.000","-"
"-","Jun 23, 2021 @ 10:18:53.000","-"
"-","Jun 23, 2021 @ 10:18:46.000","-"
"-","Jun 23, 2021 @ 10:18:39.000","-"
"-","Jun 23, 2021 @ 10:18:32.000","-"
"-","Jun 23, 2021 @ 10:18:25.000","-"
"-","Jun 23, 2021 @ 10:18:17.000","-"
"-","Jun 23, 2021 @ 10:18:10.000","-"
"-","Jun 23, 2021 @ 10:18:03.000","-"
"-","Jun 23, 2021 @ 10:17:55.000","-"
"-","Jun 23, 2021 @ 10:17:48.000","-"
"-","Jun 23, 2021 @ 10:17:41.000","-"
"-","Jun 23, 2021 @ 10:17:35.000","-"
"-","Jun 23, 2021 @ 10:17:28.000","-"
"-","Jun 23, 2021 @ 10:17:20.000","-"
"-","Jun 16, 2021 @ 14:11:29.000","{
  ""coordinates"": [
    76.5878125,
    11.7704105
  ],
  ""type"": ""Point""
}"
"-","Jun 16, 2021 @ 14:04:31.000","{
  ""coordinates"": [
    76.5878125,
    11.7704105
  ],
  ""type"": ""Point""
}"
"-","Jun 16, 2021 @ 13:41:19.000","{
  ""coordinates"": [
    76.5878125,
    11.7704105
  ],
  ""type"": ""Point""
}"
"-","Jun 16, 2021 @ 10:41:58.000","{
  ""coordinates"": [
    76.5878125,
    11.7704105
  ],
  ""type"": ""Point""
}"
"-","Jun 4, 2021 @ 17:18:42.000","-"
"-","Jun 4, 2021 @ 17:18:36.000","-"
"-","Jun 4, 2021 @ 17:18:30.000","-"
"-","May 31, 2021 @ 00:00:00.000","-"
"Conseil Régional d'Auvergne-Rhône-Alpes (Région Auvergne-Rhône-Alpes)","May 26, 2021 @ 13:59:26.000","{
  ""coordinates"": [
    5.2285,
    45.262
  ],
  ""type"": ""Point""
}"
"Conseil Régional d'Auvergne-Rhône-Alpes (Région Auvergne-Rhône-Alpes)","May 26, 2021 @ 13:46:58.000","{
  ""coordinates"": [
    5.2285,
    45.262
  ],
  ""type"": ""Point""
}"
"Conseil Régional d'Auvergne-Rhône-Alpes (Région Auvergne-Rhône-Alpes)","May 26, 2021 @ 13:46:27.000","{
  ""coordinates"": [
    5.2285,
    45.262
  ],
  ""type"": ""Point""
}"
"-","May 25, 2021 @ 14:53:50.000","{
  ""coordinates"": [
    0.8617025,
    43.274846999999994
  ],
  ""type"": ""Point""
}"
"France, Bretagne","May 7, 2021 @ 10:49:37.000","{
  ""coordinates"": [
    -4.6007,
    48.2859
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 17:25:44.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 17:19:39.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 17:13:18.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 17:06:48.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 16:56:50.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 16:53:51.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 16:47:21.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 16:42:25.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 29, 2021 @ 16:33:30.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 26, 2021 @ 17:56:55.000","-"
"-","Apr 16, 2021 @ 14:48:47.000","{
  ""coordinates"": [
    -1.1086735,
    48.523795
  ],
  ""type"": ""Point""
}"
"-","Apr 14, 2021 @ 18:36:10.000","{
  ""coordinates"": [
    -1.2808549999999999,
    48.589081
  ],
  ""type"": ""Point""
}"
"-","Apr 14, 2021 @ 17:48:24.000","{
  ""coordinates"": [
    -1.2808549999999999,
    48.589081
  ],
  ""type"": ""Point""
}"
"-","Apr 13, 2021 @ 14:52:41.000","{
  ""coordinates"": [
    -0.26604000000000005,
    47.384584
  ],
  ""type"": ""Point""
}"
"-","Apr 10, 2021 @ 00:00:00.000","-"
"-","Apr 2, 2021 @ 16:12:49.000","{
  ""coordinates"": [
    0.9449445,
    43.342544000000004
  ],
  ""type"": ""Point""
}"
"-","Apr 2, 2021 @ 13:53:02.000","{
  ""coordinates"": [
    0.9449445,
    43.342544000000004
  ],
  ""type"": ""Point""
}"
"-","Apr 1, 2021 @ 17:09:29.000","{
  ""coordinates"": [
    -1.2808549999999999,
    48.589086
  ],
  ""type"": ""Point""
}"
