"keywordType-place.langfre",createDate,location
"Rhône, Gardon, OSR, OHM VR, Paléochenal, Bras mort, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon, Gardon-Vallabrègues","Apr 3, 2024 @ 09:55:33.003","{
  ""coordinates"": [
    5.5641,
    45.661950000000004
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.695,
    44.31
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.76995,
    45.37755
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.6243,
    43.86105
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.76575,
    45.3782
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, OSR, Rhône de Cordon à Yenne","Apr 2, 2024 @ 13:45:57.390","{
  ""coordinates"": [
    5.6907,
    45.65545
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, OSR, Rhône de Lyon à Jonage","Apr 2, 2024 @ 11:29:40.540","{
  ""coordinates"": [
    4.9369,
    45.78385
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, OSR, Plaine de Beaucaire à Aigues-Mortes","Apr 2, 2024 @ 11:28:54.436","{
  ""coordinates"": [
    4.3214500000000005,
    43.64085
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Réserve naturelle de l’Ile de la Platière","Apr 2, 2024 @ 10:52:44.263","{
  ""coordinates"": [
    4.769450000000001,
    45.34085
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Réserve naturelle de l’Ile de la Platière","Mar 28, 2024 @ 16:37:13.041","{
  ""coordinates"": [
    4.769450000000001,
    45.34085
  ],
  ""type"": ""Point""
}"
"Rhône, Guiers, OHM VR, OSR, Haut-Rhône de Genève à la confluence avec le Guiers ; source du Guiers","Mar 26, 2024 @ 21:07:00.631","{
  ""coordinates"": [
    5.8865,
    45.915
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    5.7626,
    45.5026
  ],
  ""type"": ""Point""
}"
"Péage-de-Roussillon, Baix-Le-Logis-Neuf, Donzère-Mondragon, Beaucaire jusqu'à la mer","Mar 26, 2024 @ 16:57:36.361","{
  ""coordinates"": [
    4.7778,
    45.3352
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.775399999999999,
    44.7004
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.68215,
    44.3249
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.7722,
    43.605599999999995
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon","Mar 22, 2024 @ 09:38:03.669","{
  ""coordinates"": [
    4.6781500000000005,
    44.314750000000004
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    5.6135,
    45.63995
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.78075,
    45.33495
  ],
  ""type"": ""Point""
}"
"Delta du Rhône, OHM VR, Delta du Rhône","Mar 21, 2024 @ 22:23:18.519","{
  ""coordinates"": [
    4.7231,
    43.4269
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Brégnier-Cordon, Péage-de-Roussillon, Donzère-Mondragon","Mar 21, 2024 @ 21:58:19.192","{
  ""coordinates"": [
    4.67685,
    44.3214
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.7835,
    45.3373
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    5.61815,
    45.63935
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Ain, Basse vallée de l'Ain et Rhône à Brégnier-Cordon","Mar 21, 2024 @ 21:53:40.090","{
  ""coordinates"": [
    5.2455,
    45.914100000000005
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    5.61815,
    45.63935
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Rhône français","Mar 21, 2024 @ 09:05:12.164","{
  ""coordinates"": [
    5.077242,
    44.779458
  ],
  ""type"": ""Point""
}"
"Rhône, OSR, OHM VR, Canal de Miribel","Mar 20, 2024 @ 21:29:16.094","{
  ""coordinates"": [
    5.003928999999999,
    45.8096565
  ],
  ""type"": ""Point""
}"
"-","Mar 15, 2024 @ 09:29:56.724","{
  ""coordinates"": [
    1.5,
    47
  ],
  ""type"": ""Point""
}"
"Rhône, OSR, OHM VR, Motz, Miribel, Baix","Mar 14, 2024 @ 11:59:17.014","{
  ""coordinates"": [
    5.814,
    45.8878
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.98135,
    45.803250000000006
  ],
  ""type"": ""Point""
}, {
  ""coordinates"": [
    4.7838,
    44.686
  ],
  ""type"": ""Point""
}"
"-","Mar 13, 2024 @ 15:36:33.543","-"
"-","Mar 8, 2024 @ 16:30:18.626","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}"
"-","Mar 8, 2024 @ 15:53:25.056","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}"
"-","Mar 8, 2024 @ 15:10:14.326","-"
"Delta du Rhône, Camargue, OHM VR, Delta du Rhône","Mar 8, 2024 @ 14:13:15.365","{
  ""coordinates"": [
    4.7058,
    43.446650000000005
  ],
  ""type"": ""Point""
}"
"Rhône, OSR, Annexes fluviatiles, OHM VR, Rhône de Genève à Arles","Mar 8, 2024 @ 13:36:41.850","{
  ""coordinates"": [
    5.7333275,
    45.082249000000004
  ],
  ""type"": ""Point""
}"
"Gier, Annexes fluviatiles, Etang de la Bricotte","Mar 5, 2024 @ 18:16:12.052","{
  ""coordinates"": [
    4.6971,
    45.563
  ],
  ""type"": ""Point""
}"
"Gier, Vallée du Gier","Mar 5, 2024 @ 17:59:16.015","{
  ""coordinates"": [
    4.5756,
    45.48245
  ],
  ""type"": ""Point""
}"
"-","Mar 1, 2024 @ 16:31:54.505","{
  ""coordinates"": [
    -3.675,
    45.2
  ],
  ""type"": ""Point""
}"
"-","Mar 1, 2024 @ 16:15:22.299","{
  ""coordinates"": [
    -3.675,
    45.225
  ],
  ""type"": ""Point""
}"
"-","Mar 1, 2024 @ 15:47:18.804","-"
"-","Mar 1, 2024 @ 15:30:13.965","{
  ""coordinates"": [
    8.969999999999999,
    42.620000000000005
  ],
  ""type"": ""Point""
}"
"-","Feb 15, 2024 @ 00:00:00.000","-"
"-","Feb 14, 2024 @ 10:48:18.000","{
  ""coordinates"": [
    -3.3174035,
    48.057877500000004
  ],
  ""type"": ""Point""
}"
"-","Feb 13, 2024 @ 00:00:00.000","-"
"France, Bretagne","Feb 5, 2024 @ 11:58:07.000","{
  ""coordinates"": [
    -4.85125,
    48.3515
  ],
  ""type"": ""Point""
}"
"France, Bretagne","Feb 5, 2024 @ 11:19:15.000","{
  ""coordinates"": [
    -4.858024,
    48.345631999999995
  ],
  ""type"": ""Point""
}"
"-","Jan 22, 2024 @ 17:41:41.000","{
  ""coordinates"": [
    -1.112875,
    48.527218000000005
  ],
  ""type"": ""Point""
}"
"-","Jan 22, 2024 @ 17:39:41.000","{
  ""coordinates"": [
    2.422485,
    46.5023775
  ],
  ""type"": ""Point""
}"
"Rhône, OSR, OHM VR, RhônEco, Cours du Rhône français","Dec 15, 2023 @ 16:12:21.428","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}"
"Rhône, Bassin versant du Rhône français","Dec 15, 2023 @ 14:13:39.281","{
  ""coordinates"": [
    5.5590665,
    44.731353999999996
  ],
  ""type"": ""Point""
}"
"Rhône, Le Rhône de Lyon à Montélimar","Dec 15, 2023 @ 13:01:55.412","{
  ""coordinates"": [
    4.8646705,
    45.102659
  ],
  ""type"": ""Point""
}"
"Rhône, Cours du Rhône français","Dec 15, 2023 @ 12:55:59.473","{
  ""coordinates"": [
    5.137919999999999,
    44.731355
  ],
  ""type"": ""Point""
}"
"Rhône, Saône, Rhône et Saône à Lyon","Dec 15, 2023 @ 12:52:29.845","{
  ""coordinates"": [
    4.933982,
    45.797143500000004
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, OSR, Belley, Brégnier-Cordon","Dec 15, 2023 @ 12:39:22.228","{
  ""coordinates"": [
    5.7654825,
    45.768651500000004
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, OSR, Rhône de Donzère à Arles","Dec 15, 2023 @ 11:45:49.637","{
  ""coordinates"": [
    4.75,
    44.068
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Archive cartographique, Bourg-Saint-Andéol à la mer","Dec 15, 2023 @ 11:44:37.607","{
  ""coordinates"": [
    4.65,
    44.334
  ],
  ""type"": ""Point""
}"
"Rhône, OHM VR, Archive cartographique, Haut-Rhône","Dec 15, 2023 @ 11:02:28.522","{
  ""coordinates"": [
    5.8921375000000005,
    45.830296000000004
  ],
  ""type"": ""Point""
}"
"Zone Atelier Armorique ZAAr, Climatologie urbaine, Îlots de chaleur urbains, Microclimat","Dec 12, 2023 @ 14:12:56.000","{
  ""coordinates"": [
    -1.6546020000000001,
    48.1355585
  ],
  ""type"": ""Point""
}"
"-","Dec 12, 2023 @ 10:32:55.669","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}"
"-","Dec 11, 2023 @ 18:31:32.000","{
  ""coordinates"": [
    -2.9012974999999996,
    48.077053
  ],
  ""type"": ""Point""
}"
France,"Dec 11, 2023 @ 18:28:57.000","{
  ""coordinates"": [
    -2.9012974999999996,
    48.077053
  ],
  ""type"": ""Point""
}"
"-","Dec 7, 2023 @ 09:52:50.837","{
  ""coordinates"": [
    1.32,
    47.575
  ],
  ""type"": ""Point""
}"
"-","Dec 1, 2023 @ 15:17:24.000","{
  ""coordinates"": [
    -1.639319,
    48.117853
  ],
  ""type"": ""Point""
}"
"Caribbean Sea, France, Guadeloupe","Dec 1, 2023 @ 08:49:58.000","{
  ""coordinates"": [
    -61.405899,
    16.1732555
  ],
  ""type"": ""Point""
}"
"OHM VR, Rhône, Donzère-Mondragon","Nov 29, 2023 @ 09:53:16.647","{
  ""coordinates"": [
    4.679674,
    44.320082
  ],
  ""type"": ""Point""
}"
"Rhône, OSR, OHM VR, Cours du Rhône français","Nov 29, 2023 @ 09:52:56.048","{
  ""coordinates"": [
    5.137499999999999,
    44.730999999999995
  ],
  ""type"": ""Point""
}"
"Cours du Rhône français","Nov 29, 2023 @ 09:52:00.069","{
  ""coordinates"": [
    5.323713,
    44.7704085
  ],
  ""type"": ""Point""
}"
"Rhône de Jons à Arles","Nov 29, 2023 @ 09:51:34.599","{
  ""coordinates"": [
    4.8071665,
    44.733000000000004
  ],
  ""type"": ""Point""
}"
"-","Nov 23, 2023 @ 11:18:22.241","{
  ""coordinates"": [
    0.66,
    42.864999999999995
  ],
  ""type"": ""Point""
}"
"-","Nov 22, 2023 @ 10:44:09.655","-"
"-","Nov 22, 2023 @ 09:44:37.719","-"
"-","Nov 21, 2023 @ 19:22:08.000","{
  ""coordinates"": [
    -3.3174035,
    48.057877500000004
  ],
  ""type"": ""Point""
}"
"-","Nov 21, 2023 @ 15:05:07.562","-"
"-","Nov 21, 2023 @ 14:43:35.249","{
  ""coordinates"": [
    3.5,
    45.995000000000005
  ],
  ""type"": ""Point""
}"
"-","Nov 21, 2023 @ 14:25:47.357","-"
"-","Nov 21, 2023 @ 14:10:55.795","{
  ""coordinates"": [
    2.78,
    48.48
  ],
  ""type"": ""Point""
}"
"-","Nov 21, 2023 @ 11:52:37.824","{
  ""coordinates"": [
    3.0999999999999996,
    43.925
  ],
  ""type"": ""Point""
}"
"-","Nov 21, 2023 @ 11:43:12.329","-"
"-","Nov 21, 2023 @ 11:30:35.255","-"
"-","Nov 21, 2023 @ 11:01:10.489","{
  ""coordinates"": [
    5.35,
    45.545
  ],
  ""type"": ""Point""
}"
"-","Nov 21, 2023 @ 10:25:13.723","{
  ""coordinates"": [
    1.15,
    44.62
  ],
  ""type"": ""Point""
}"
"-","Nov 17, 2023 @ 15:33:58.973","{
  ""coordinates"": [
    1.418515,
    42.778214500000004
  ],
  ""type"": ""Point""
}"
"-","Nov 16, 2023 @ 15:42:22.695","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}"
"-","Nov 16, 2023 @ 14:59:07.021","{
  ""coordinates"": [
    3.205,
    45.715
  ],
  ""type"": ""Point""
}"
"-","Nov 16, 2023 @ 14:43:24.829","-"
"-","Nov 16, 2023 @ 14:31:54.528","{
  ""coordinates"": [
    0.4,
    50.325
  ],
  ""type"": ""Point""
}"
"-","Nov 16, 2023 @ 14:18:25.768","-"
"-","Nov 16, 2023 @ 10:32:59.079","{
  ""coordinates"": [
    11.045000000000002,
    -0.21499999999999986
  ],
  ""type"": ""Point""
}"
