,Store,Entrepot,Ids,Titre et auteurs,Uri,Type,Type de document,Date de production
16,HAL, Zone atelier Armorique,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
17,HAL,Zone atelier territoires uranifères,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
18,HAL, Zone atelier Pyrénées Garonne,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
19,HAL, Zone Atelier Santé Environnement Camargue,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
20,HAL, Zone Atelier Antarctique et Terres Australes,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
21,HAL, Zone atelier Brest Iroise,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
22,HAL, Zone atelier Plaine et Val de Sèvre,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
23,HAL, Zone atelier bassin du Rhône,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
24,HAL, Zone atelier bassin de la Moselle,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
25,HAL, Zone atelier Alpes,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
26,HAL, Zone atelier arc jurassien,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
27,HAL, Zone atelier Hwange,4724238,"Jérôme Dutroncy, Cécile Pignol, Romain Georges, Sylvie Damy, Françoise Le Moal, et al.. Bancariser les données dans le Réseau des Zones Ateliers. 6ème colloque du Réseau des Zones Ateliers, Sep 2024, Sainte Menehould, France. 2024. ⟨hal-04724238⟩",https://hal.science/hal-04724238v1,file,POSTER,2024
28,HAL, Zone atelier environnementale urbaine,4723185,"Isabelle Charpentier. TrajecStories. 6e colloque Du Réseau des Zones Ateliers, Réseau des Zones Ateliers, Sep 2024, Sainte Ménehould, France. ⟨hal-04723185⟩",https://hal.science/hal-04723185v1,file,COMM,2024
29,HAL, Zone atelier environnementale urbaine,4723138,"Isabelle Charpentier, Cédric Viviani. Trajectoire des socio-écosystèmes et représentation logicielle – Regards croisés sur le socio-hydrosystème de la Ligne Maginot Aquatique. Dynamiques Environnementales - Journal international des géosciences et de l’environnement, 2022, Zones Ateliers & VARIA, 49-50, pp.1-26. ⟨10.4000/dynenviron.6804⟩. ⟨hal-04723138⟩",https://hal.science/hal-04723138v1,file,ART,2022
30,HAL, Zone atelier Armorique,4719187,"Hélène Audusseau, Reto Schmucki, Solène Croci, Vincent Dubreuil. Sustainable urban planning needs stronger interdisciplinarity and better co‐designing: How ecologists and climatologists can fully leverage climate monitoring data. WIREs Climate Change, 2024, pp.e912. ⟨10.1002/wcc.912⟩. ⟨hal-04716407⟩",https://hal.science/hal-04716407v1,file,ART,2024
31,HAL, Zone atelier Armorique,4716399,"Valentin Cabon, Dylan Amiar, Romain Georges, Vincent Dubreuil, Julien Pétillon, et al.. When scale matters to disentangle the effect of habitat and temperature on ground-dwelling spider communities in urban environments. Urban Ecosystems, 2024, ⟨10.1007/s11252-024-01591-5⟩. ⟨hal-04716399⟩",https://hal.science/hal-04716399v1,notice,ART,2024
32,HAL, Zone atelier environnementale urbaine,4701808,"Sandrine Glatron, Adine Hector, Véronique Philippot, J.Y. Georges. Gestion des espèces envahissantes en ville : le cas des tortues dans les parcs urbains. Explorer l'environnement. Des solutions pour innover, CNRS Editions, 2024, 978-2-271-15236-7. ⟨hal-04701808⟩",https://hal.science/hal-04701808v1,annex,COUV,2024
33,HAL, Zone atelier Plaine et Val de Sèvre,4701339,"Jerome Faure, Lauriane Mouysset, Fabrice Allier, Axel Decourtye, Sabrina Gaba. How pollinator dependence may mediate farmer adoption of pollinator supporting practices and perceptions: a case study from western France. Environmental Research Communications, 2024, 6 (9), pp.095010. ⟨10.1088/2515-7620/ad75ee⟩. ⟨hal-04701339⟩",https://hal.science/hal-04701339v1,file,ART,2024
